"","treated1","treated2","treated3","untreated1","untreated2","untreated3","untreated4"
"FBgn0038871",264,99,130,174,227,89,130
"FBgn0039726",597,271,278,395,580,169,266
"FBgn0011701",2,0,2,0,4,0,1
"FBgn0015803",2846,1328,1518,2190,3440,1343,1377
"FBgn0037506",6,3,3,4,12,5,5
"FBgn0010421",477,208,193,320,583,134,186
"FBgn0033961",472,208,222,291,475,167,225
"FBgn0032934",321,147,169,173,320,105,123
"FBgn0004841",0,0,1,0,0,0,0
"FBgn0036959",40,17,25,44,56,15,29
"FBgn0032725",747,188,193,284,746,108,165
"FBgn0050122",9365,5026,5303,7411,11367,4755,4828
"FBgn0037064",19,10,19,18,20,10,13
"FBgn0013277",1,4,0,0,0,7,1
"FBgn0016122",490,254,261,411,556,210,236
"FBgn0035070",0,0,0,0,0,0,0
"FBgn0015778",16374,7879,8307,8678,16237,6197,6183
"FBgn0250831",1,0,0,0,0,0,0
"FBgn0037880",259,150,168,173,222,98,129
"FBgn0032493",0,0,0,0,0,0,0
"FBgn0039626",855,425,446,635,1219,416,432
"FBgn0261056",0,0,0,0,0,0,0
"FBgn0038631",0,0,1,0,0,0,0
"FBgn0063261",0,0,0,0,0,0,0
"FBgn0030667",282,99,106,124,274,65,71
"FBgn0020906",1,0,0,0,0,0,1
"FBgn0033569",379,170,161,235,376,139,166
"FBgn0033960",22,14,16,28,26,13,16
"FBgn0001142",654,288,305,196,645,289,368
"FBgn0051337",886,428,567,937,2078,724,1021
"FBgn0030836",1,0,0,1,2,0,1
"FBgn0015589",9104,4400,4369,6570,10970,4137,3873
"FBgn0031053",428,347,430,412,489,268,259
"FBgn0260757",2073,873,730,1367,2233,913,770
"FBgn0086895",1202,598,590,816,1349,458,493
"FBgn0052719",110,18,27,66,188,48,34
"FBgn0038200",2,1,0,1,1,1,0
"FBgn0260241",0,0,0,0,0,0,0
"FBgn0037837",2,10,25,0,2,14,7
"FBgn0031038",0,0,0,0,0,0,0
"FBgn0052762",0,0,0,1,0,0,0
"FBgn0037013",20,9,4,14,24,6,6
"FBgn0001077",0,0,0,0,0,0,0
"FBgn0051635",1108,516,525,682,1377,516,509
"FBgn0038610",0,1,1,2,2,2,0
"FBgn0031817",236,135,163,158,252,83,120
"FBgn0033814",1144,650,645,911,1070,438,480
"FBgn0050254",0,0,0,1,0,0,0
"FBgn0036416",1,1,1,2,2,0,1
"FBgn0038189",0,0,0,0,0,0,0
"FBgn0024993",239,123,132,157,234,72,120
"FBgn0052488",0,0,0,0,0,0,0
"FBgn0038485",1,0,0,1,1,0,0
"FBgn0260937",2655,1079,1052,2004,2756,880,1037
"FBgn0035388",2151,1038,1157,1619,2700,1008,1122
"FBgn0000179",3,0,2,0,3,1,0
"FBgn0000052",3169,1843,1912,3026,3587,1624,1944
"FBgn0031238",379,202,227,258,450,143,183
"FBgn0051716",4410,1725,1956,2812,4982,1666,1822
"FBgn0033473",571,262,280,465,729,224,287
"FBgn0085378",1282,395,372,755,1142,353,389
"FBgn0046815",3,0,1,0,9,1,0
"FBgn0038267",0,0,0,0,0,0,0
"FBgn0011945",0,0,0,0,0,0,0
"FBgn0000634",694,313,318,420,538,202,202
"FBgn0260750",369,147,155,259,274,89,124
"FBgn0040670",79,30,38,50,66,27,35
"FBgn0250754",10764,3557,3391,6356,11924,3566,3022
"FBgn0039723",0,1,1,1,0,0,1
"FBgn0000257",1072,645,673,759,1198,528,612
"FBgn0037670",252,65,69,104,266,55,75
"FBgn0030499",1053,655,733,790,1230,571,581
"FBgn0051575",0,0,0,0,0,0,0
"FBgn0053901",0,0,0,0,0,0,0
"FBgn0050389",4652,2567,2866,3419,4694,1903,1865
"FBgn0051163",35,16,15,6,12,4,5
"FBgn0004666",0,1,0,0,1,0,0
"FBgn0031435",52,41,35,35,72,18,28
"FBgn0041224",0,1,0,0,1,0,0
"FBgn0086779",2809,942,945,1519,2843,863,888
"FBgn0038876",389,214,242,274,324,167,181
"FBgn0031209",2,0,2,2,2,1,0
"FBgn0035756",0,1,0,0,1,0,0
"FBgn0051924",0,0,0,0,0,0,0
"FBgn0034421",3426,1839,2062,2128,3291,1554,1614
"FBgn0040251",908,265,327,359,641,234,228
"FBgn0039554",1339,688,770,891,1622,555,730
"FBgn0025388",666,304,372,446,844,276,308
"FBgn0015834",6506,3806,4504,6142,8621,3297,4510
"FBgn0005642",1376,790,814,977,1862,704,768
"FBgn0050099",5,4,2,2,9,1,0
"FBgn0011878",0,0,1,0,0,0,0
"FBgn0017579",27889,18216,22423,26421,35107,16075,22569
"FBgn0002905",1181,564,537,794,1220,434,503
"FBgn0260450",1180,716,826,756,888,466,517
"FBgn0030293",2229,1350,1315,1899,2593,1123,1209
"FBgn0036056",0,0,0,0,0,0,0
"FBgn0053792",0,0,0,1,0,0,0
"FBgn0037295",2,0,0,0,2,1,1
"FBgn0024366",43,31,34,25,58,22,33
"FBgn0013548",844,575,608,1007,1432,674,696
"FBgn0052718",0,0,0,0,0,0,0
"FBgn0033367",30913,22288,19977,6151,18102,6429,7296
"FBgn0013765",5877,2361,2553,2505,4284,1557,1689
"FBgn0067680",0,0,0,0,0,0,0
"FBgn0036830",0,0,0,0,0,0,0
"FBgn0038057",271,100,92,166,252,73,113
"FBgn0036363",2,1,1,3,1,0,0
"FBgn0014022",506,192,185,303,607,139,174
"FBgn0050065",3,2,2,3,1,1,1
"FBgn0004859",459,99,117,410,511,106,105
"FBgn0034958",1667,617,660,1161,1760,566,548
"FBgn0039848",31,19,22,40,47,26,24
"FBgn0004133",1584,785,982,1439,2354,861,951
"FBgn0003659",824,132,105,307,580,95,96
"FBgn0021764",1120,491,487,670,1157,453,426
"FBgn0260633",0,0,0,0,0,0,0
"FBgn0038342",7,3,1,1,4,2,1
"FBgn0032632",0,0,0,0,0,0,0
"FBgn0030684",9,3,4,9,11,6,3
"FBgn0000500",4,6,7,3,7,1,4
"FBgn0010288",2351,935,1237,1519,2230,817,1075
"FBgn0032919",2268,999,1012,1603,2919,875,1018
"FBgn0065073",4,0,0,4,1,0,2
"FBgn0034750",1058,615,680,713,1121,408,559
"FBgn0085313",0,0,0,0,1,0,0
"FBgn0020508",1,1,1,2,0,1,0
"FBgn0026872",188,137,161,266,276,132,180
"FBgn0064119",0,0,0,0,0,0,0
"FBgn0010109",4,1,2,0,4,0,5
"FBgn0011305",1252,582,551,573,1050,404,434
"FBgn0035936",42,23,26,31,49,18,19
"FBgn0051642",294,172,144,51,71,46,30
"FBgn0036905",0,0,0,0,0,0,0
"FBgn0013755",1,1,0,0,0,2,0
"FBgn0016685",4749,2078,2330,3065,5124,1689,2018
"FBgn0038100",1289,448,524,574,2004,531,665
"FBgn0082939",0,0,0,0,0,0,0
"FBgn0032961",5565,2062,2332,3948,5837,1673,2461
"FBgn0032221",102,26,31,54,83,31,25
"FBgn0037232",457,150,181,349,461,157,195
"FBgn0033469",183,99,100,345,192,61,108
"FBgn0052512",1336,659,753,709,1951,688,719
"FBgn0038735",736,269,335,569,645,245,270
"FBgn0050127",3,1,3,0,4,0,0
"FBgn0037890",954,417,436,724,808,334,434
"FBgn0028926",403,243,261,342,538,199,255
"FBgn0004512",875,450,518,402,748,311,388
"FBgn0011848",0,0,0,0,0,0,0
"FBgn0043884",17164,9154,8769,12248,22178,9147,7742
"FBgn0032314",0,0,0,0,0,0,0
"FBgn0034643",1807,982,975,1443,2647,995,1086
"FBgn0037023",0,2,0,1,2,1,2
"FBgn0067864",1357,803,891,1049,1518,617,691
"FBgn0027524",458,217,216,338,404,152,157
"FBgn0010313",100,38,41,40,87,44,26
"FBgn0032144",2,2,0,1,1,0,0
"FBgn0030252",24,19,21,18,41,19,24
"FBgn0026869",5135,1600,1656,3473,5889,1709,1527
"FBgn0026375",5686,2446,2606,2909,6429,2318,2257
"FBgn0027934",0,0,0,0,0,0,0
"FBgn0000064",13068,6941,7905,7764,12370,5009,5553
"FBgn0005649",4240,2095,2152,2630,4204,1715,1721
"FBgn0030803",628,274,323,513,739,239,259
"FBgn0052476",36,9,10,13,21,5,6
"FBgn0035458",2,1,1,1,1,1,1
"FBgn0053772",0,0,0,0,0,0,0
"FBgn0053474",3,0,1,0,1,0,1
"FBgn0085399",29,9,10,11,21,11,12
"FBgn0015618",171,93,100,124,214,63,99
"FBgn0052475",0,0,0,0,0,0,0
"FBgn0027509",2967,1384,1337,2067,2760,1057,1208
"FBgn0052493",1,0,0,0,0,0,1
"FBgn0250816",560,88,90,245,321,97,118
"FBgn0082944",6,1,0,2,4,0,0
"FBgn0035950",1048,553,613,721,923,384,477
"FBgn0051265",2,0,0,2,2,0,0
"FBgn0039581",3422,1781,1797,2238,4095,1600,1768
"FBgn0001990",662,292,346,485,814,274,330
"FBgn0261245",26,6,12,19,28,8,13
"FBgn0033392",238,107,135,184,260,101,112
"FBgn0025394",2805,1259,1488,1984,3677,1095,1282
"FBgn0031571",68,38,25,43,74,30,27
"FBgn0029690",0,0,2,0,3,0,0
"FBgn0038826",2364,907,952,895,3073,1166,951
"FBgn0053859",0,0,0,0,0,0,0
"FBgn0037556",1151,404,475,715,1139,357,413
"FBgn0032689",2296,924,920,1602,2466,819,910
"FBgn0259834",522,222,247,431,629,224,283
"FBgn0032122",2,0,0,0,1,1,0
"FBgn0261564",1754,818,1004,1258,2042,821,938
"FBgn0051245",6,2,0,0,2,1,0
"FBgn0040805",1,0,0,0,1,0,0
"FBgn0031895",141,83,65,71,124,49,44
"FBgn0036320",0,0,0,0,0,0,0
"FBgn0010453",1,0,1,1,3,4,2
"FBgn0034204",0,1,0,0,0,0,0
"FBgn0051195",1990,943,1012,783,1325,445,520
"FBgn0025790",1307,736,745,1116,1467,613,778
"FBgn0040816",0,0,0,0,0,0,0
"FBgn0035335",496,175,207,345,446,121,190
"FBgn0086447",292,73,84,146,283,53,59
"FBgn0002780",7038,2079,2253,5143,8215,2441,2739
"FBgn0082972",3,0,0,0,3,1,0
"FBgn0020611",2012,819,985,1415,2099,792,923
"FBgn0040832",0,0,0,0,0,0,0
"FBgn0035211",179,92,125,114,153,67,82
"FBgn0038643",0,0,0,0,1,0,0
"FBgn0039970",1534,433,484,994,1614,464,492
"FBgn0029629",8537,4816,5535,5934,11309,3992,5173
"FBgn0039175",1131,607,685,951,1122,440,556
"FBgn0038000",0,0,0,0,0,0,0
"FBgn0023212",1882,1002,1105,1536,2709,857,987
"FBgn0086021",0,0,0,1,0,1,0
"FBgn0050106",0,0,0,0,0,0,0
"FBgn0053985",1,4,1,4,1,1,0
"FBgn0039027",0,0,1,0,0,0,0
"FBgn0037065",9,3,5,11,17,3,8
"FBgn0260764",6,3,1,3,0,3,1
"FBgn0038535",8709,3862,4229,5252,10458,3588,3675
"FBgn0051156",402,154,180,247,478,160,160
"FBgn0033899",880,398,400,654,950,290,332
"FBgn0036934",0,1,0,0,1,0,2
"FBgn0032969",1,1,1,3,7,0,1
"FBgn0037630",63,26,22,27,47,14,16
"FBgn0051014",0,0,0,0,0,0,0
"FBgn0033951",529,232,293,357,676,204,244
"FBgn0085316",0,0,0,2,0,0,0
"FBgn0040733",0,0,0,0,0,0,0
"FBgn0000181",19843,9772,10617,14904,27979,8541,10972
"FBgn0053653",198,44,46,82,147,46,47
"FBgn0051578",0,1,0,0,0,0,0
"FBgn0259878",42,14,9,30,44,12,16
"FBgn0050259",0,0,2,0,0,0,1
"FBgn0030443",1,0,1,0,1,0,0
"FBgn0030918",32,10,10,9,16,4,5
"FBgn0039770",0,1,0,0,0,0,1
"FBgn0039337",277,130,118,184,337,88,122
"FBgn0035772",9710,3330,3845,5129,9397,2544,2921
"FBgn0037998",1226,661,662,799,1255,454,533
"FBgn0015571",237,92,99,125,238,90,133
"FBgn0050251",0,0,0,0,0,0,0
"FBgn0044812",1,0,0,0,1,0,0
"FBgn0003676",7385,3929,4365,5349,6403,2737,3488
"FBgn0031321",331,196,241,323,416,203,233
"FBgn0036667",538,102,120,211,526,79,116
"FBgn0085404",9,3,2,1,8,6,1
"FBgn0036608",0,0,0,0,0,0,0
"FBgn0035040",15,2,1,5,5,5,1
"FBgn0034259",1704,761,923,1205,1361,482,632
"FBgn0034657",1386,864,801,1140,1357,601,608
"FBgn0030894",1617,699,833,1156,1888,713,709
"FBgn0030912",1,2,0,1,1,0,3
"FBgn0015277",866,625,642,860,1159,543,673
"FBgn0004187",1,0,0,0,0,1,0
"FBgn0013275",0,0,0,0,0,0,0
"FBgn0031201",85,36,42,59,103,35,45
"FBgn0033388",248,104,109,181,287,123,108
"FBgn0033252",16,6,4,9,11,8,4
"FBgn0086030",0,0,0,0,0,0,0
"FBgn0261571",1,0,0,0,0,0,0
"FBgn0053509",198,40,48,60,105,36,34
"FBgn0034807",0,0,1,1,1,0,0
"FBgn0037843",2502,985,1114,1705,2765,803,876
"FBgn0034264",26,8,13,18,22,6,5
"FBgn0037874",25037,11569,13081,18672,29476,10210,14449
"FBgn0051031",12,3,6,6,11,6,2
"FBgn0026316",962,426,390,616,1169,300,392
"FBgn0037411",0,0,0,0,0,0,0
"FBgn0083046",6,0,1,1,1,0,0
"FBgn0027784",197,122,146,152,224,95,106
"FBgn0085309",0,0,0,0,0,0,0
"FBgn0053434",0,0,0,0,0,0,0
"FBgn0261566",0,0,0,0,0,0,0
"FBgn0031196",39,24,18,15,40,15,21
"FBgn0051467",54,13,18,38,63,15,26
"FBgn0050103",1,0,0,0,0,0,0
"FBgn0031574",367,183,237,358,397,164,183
"FBgn0038662",484,223,222,391,630,170,226
"FBgn0050212",0,0,0,0,0,0,0
"FBgn0040723",5,1,2,3,14,1,5
"FBgn0023416",987,366,381,497,819,285,326
"FBgn0039439",0,0,0,0,1,0,0
"FBgn0034084",362,192,259,265,443,149,199
"FBgn0052069",187,64,95,108,107,40,68
"FBgn0041186",1077,447,487,761,1378,421,527
"FBgn0037896",158,75,86,55,95,40,38
"FBgn0025682",11004,6090,7051,10199,17830,6085,7971
"FBgn0029995",5,0,2,5,2,2,0
"FBgn0033465",819,418,458,666,1055,388,464
"FBgn0027553",610,334,345,567,722,288,348
"FBgn0004593",0,0,0,0,0,0,0
"FBgn0015777",2173,917,1053,1097,1467,602,613
"FBgn0015014",1639,868,830,977,1772,554,657
"FBgn0004556",610,232,257,404,787,253,256
"FBgn0037433",32,14,20,22,36,10,19
"FBgn0261397",3113,1396,1410,2210,2923,1159,1303
"FBgn0030166",0,0,0,0,0,0,0
"FBgn0033031",0,0,0,0,0,0,0
"FBgn0037908",0,0,0,0,0,0,0
"FBgn0032049",0,2,2,5,5,0,0
"FBgn0031051",2612,1669,1720,2040,2890,1394,1413
"FBgn0034988",319,183,231,255,404,143,173
"FBgn0039686",4,0,1,0,4,0,1
"FBgn0027528",6,3,4,2,3,3,3
"FBgn0035488",892,363,407,559,1143,370,431
"FBgn0034623",1,0,0,0,0,0,0
"FBgn0030421",409,108,92,293,310,103,116
"FBgn0029930",1,1,0,0,2,3,0
"FBgn0003328",1145,497,602,1089,1471,599,652
"FBgn0033792",4,2,1,1,3,1,2
"FBgn0038821",74,27,28,41,46,18,16
